timestamp,timestamp_horario_utc,timestamp_horario_utc_diff,Avancado 1S2,Recuado 1S1,V1 12,V1 14,Inicia,Para
1757031352522,2025-09-05 00:15:52.522,115.0,1,0,0,1,0,1
1757031352636,2025-09-05 00:15:52.636,114.0,1,0,1,0,0,1
1757031352762,2025-09-05 00:15:52.762,126.0,0,0,1,0,0,1
1757031352875,2025-09-05 00:15:52.875,113.0,0,0,1,0,0,1
1757031352990,2025-09-05 00:15:52.990,115.0,0,0,1,0,0,1
1757031353115,2025-09-05 00:15:53.115,125.0,0,1,1,0,0,1
1757031353229,2025-09-05 00:15:53.229,114.0,0,1,1,0,0,1
1757031353355,2025-09-05 00:15:53.355,126.0,0,1,1,0,0,1
1757031353469,2025-09-05 00:15:53.469,114.0,0,1,1,0,0,1
1757031353584,2025-09-05 00:15:53.584,115.0,0,1,1,0,0,1
1757031353709,2025-09-05 00:15:53.709,125.0,0,1,1,0,0,1
1757031353824,2025-09-05 00:15:53.824,115.0,0,1,1,0,0,1
1757031353938,2025-09-05 00:15:53.938,114.0,0,1,1,0,0,1
1757031354064,2025-09-05 00:15:54.064,126.0,0,1,0,1,0,1
